aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
42.0,62.6,2023-12-31:16,5.0,26.7,15.3,10.0,12.0,2023-12-31T23:00:00,2023-12-31T16:00:00,1704038400
42.0,61.3,2023-12-31:15,5.0,28.0,15.0,10.0,14.0,2023-12-31T22:00:00,2023-12-31T15:00:00,1704034800
39.0,57.2,2023-12-31:14,4.7,30.7,14.3,9.33,13.0,2023-12-31T21:00:00,2023-12-31T14:00:00,1704031200
36.0,53.1,2023-12-31:13,4.3,33.3,13.7,8.67,12.0,2023-12-31T20:00:00,2023-12-31T13:00:00,1704027600
33.0,49.0,2023-12-31:12,4.0,36.0,13.0,8.0,11.0,2023-12-31T19:00:00,2023-12-31T12:00:00,1704024000
69.0,49.0,2023-12-31:11,3.0,43.0,26.3,21.0,10.7,2023-12-31T18:00:00,2023-12-31T11:00:00,1704020400
69.0,49.0,2023-12-31:10,2.0,50.0,26.3,21.0,10.3,2023-12-31T17:00:00,2023-12-31T10:00:00,1704016800
65.0,49.0,2023-12-31:09,1.0,57.0,23.8,19.0,10.0,2023-12-31T16:00:00,2023-12-31T09:00:00,1704013200
62.0,56.8,2023-12-31:08,1.0,70.3,22.8,17.33,12.0,2023-12-31T15:00:00,2023-12-31T08:00:00,1704009600
58.0,64.6,2023-12-31:07,1.0,83.7,21.9,15.67,14.0,2023-12-31T14:00:00,2023-12-31T07:00:00,1704006000
54.0,72.4,2023-12-31:06,1.0,97.0,21.0,14.0,16.0,2023-12-31T13:00:00,2023-12-31T06:00:00,1704002400
60.0,78.8,2023-12-31:05,1.3,99.3,25.0,16.67,29.0,2023-12-31T12:00:00,2023-12-31T05:00:00,1703998800
66.0,85.2,2023-12-31:04,1.7000000000000002,101.7,29.0,19.33,42.0,2023-12-31T11:00:00,2023-12-31T04:00:00,1703995200
72.0,91.6,2023-12-31:03,2.0,104.0,33.0,22.0,55.0,2023-12-31T10:00:00,2023-12-31T03:00:00,1703991600
80.0,119.4,2023-12-31:02,4.3,87.0,38.7,26.0,61.7,2023-12-31T09:00:00,2023-12-31T02:00:00,1703988000
89.0,147.3,2023-12-31:01,6.7,70.0,44.3,30.0,68.3,2023-12-31T08:00:00,2023-12-31T01:00:00,1703984400
98.0,175.1,2023-12-31:00,9.0,53.0,50.0,34.0,75.0,2023-12-31T07:00:00,2023-12-31T00:00:00,1703980800
90.0,157.6,2023-12-30:23,8.0,47.7,44.7,30.33,58.7,2023-12-31T06:00:00,2023-12-30T23:00:00,1703977200
82.0,140.1,2023-12-30:22,7.0,42.3,39.3,26.67,42.3,2023-12-31T05:00:00,2023-12-30T22:00:00,1703973600
74.0,122.6,2023-12-30:21,6.0,37.0,34.0,23.0,26.0,2023-12-31T04:00:00,2023-12-30T21:00:00,1703970000
80.0,132.5,2023-12-30:20,7.3,37.0,37.7,25.67,37.7,2023-12-31T03:00:00,2023-12-30T20:00:00,1703966400
85.0,142.4,2023-12-30:19,8.7,37.0,41.3,28.33,49.3,2023-12-31T02:00:00,2023-12-30T19:00:00,1703962800
91.0,152.3,2023-12-30:18,10.0,37.0,45.0,31.0,61.0,2023-12-31T01:00:00,2023-12-30T18:00:00,1703959200
95.0,151.9,2023-12-30:17,10.3,43.0,47.7,32.67,67.7,2023-12-31T00:00:00,2023-12-30T17:00:00,1703955600
98.0,151.5,2023-12-30:16,10.7,49.0,50.3,34.33,74.3,2023-12-30T23:00:00,2023-12-30T16:00:00,1703952000
102.0,151.2,2023-12-30:15,11.0,55.0,53.0,36.0,81.0,2023-12-30T22:00:00,2023-12-30T15:00:00,1703948400
94.0,132.1,2023-12-30:14,9.7,56.0,47.3,32.33,68.3,2023-12-30T21:00:00,2023-12-30T14:00:00,1703944800
86.0,113.0,2023-12-30:13,8.3,57.0,41.7,28.67,55.7,2023-12-30T20:00:00,2023-12-30T13:00:00,1703941200
78.0,94.0,2023-12-30:12,7.0,58.0,36.0,25.0,43.0,2023-12-30T19:00:00,2023-12-30T12:00:00,1703937600
72.0,80.3,2023-12-30:11,5.3,59.7,32.0,22.0,36.7,2023-12-30T18:00:00,2023-12-30T11:00:00,1703934000
65.0,66.7,2023-12-30:10,3.7,61.3,28.0,19.0,30.3,2023-12-30T17:00:00,2023-12-30T10:00:00,1703930400
59.0,53.1,2023-12-30:09,2.0,63.0,24.0,16.0,24.0,2023-12-30T16:00:00,2023-12-30T09:00:00,1703926800
61.0,57.4,2023-12-30:08,2.0,78.7,25.3,17.0,31.3,2023-12-30T15:00:00,2023-12-30T08:00:00,1703923200
63.0,61.7,2023-12-30:07,2.0,94.3,26.7,18.0,38.7,2023-12-30T14:00:00,2023-12-30T07:00:00,1703919600
65.0,65.9,2023-12-30:06,2.0,110.0,28.0,19.0,46.0,2023-12-30T13:00:00,2023-12-30T06:00:00,1703916000
67.0,72.9,2023-12-30:05,3.3,108.7,29.0,19.67,60.7,2023-12-30T12:00:00,2023-12-30T05:00:00,1703912400
68.0,80.0,2023-12-30:04,4.7,107.3,30.0,20.33,75.3,2023-12-30T11:00:00,2023-12-30T04:00:00,1703908800
69.0,87.0,2023-12-30:03,6.0,106.0,31.0,21.0,90.0,2023-12-30T10:00:00,2023-12-30T03:00:00,1703905200
74.0,101.0,2023-12-30:02,7.0,91.0,34.0,23.0,89.3,2023-12-30T09:00:00,2023-12-30T02:00:00,1703901600
78.0,115.0,2023-12-30:01,8.0,76.0,37.0,25.0,88.7,2023-12-30T08:00:00,2023-12-30T01:00:00,1703898000
82.0,129.0,2023-12-30:00,9.0,61.0,40.0,27.0,88.0,2023-12-30T07:00:00,2023-12-30T00:00:00,1703894400
83.0,124.9,2023-12-29:23,8.3,64.7,40.3,27.33,93.3,2023-12-30T06:00:00,2023-12-29T23:00:00,1703890800
84.0,120.8,2023-12-29:22,7.7,68.3,40.7,27.67,98.7,2023-12-30T05:00:00,2023-12-29T22:00:00,1703887200
85.0,116.7,2023-12-29:21,7.0,72.0,41.0,28.0,104.0,2023-12-30T04:00:00,2023-12-29T21:00:00,1703883600
85.0,120.4,2023-12-29:20,7.3,75.7,41.3,28.0,107.0,2023-12-30T03:00:00,2023-12-29T20:00:00,1703880000
85.0,124.1,2023-12-29:19,7.7,79.3,41.7,28.0,110.0,2023-12-30T02:00:00,2023-12-29T19:00:00,1703876400
85.0,127.8,2023-12-29:18,8.0,83.0,42.0,28.0,113.0,2023-12-30T01:00:00,2023-12-29T18:00:00,1703872800
87.0,131.3,2023-12-29:17,8.3,93.3,44.3,29.33,118.0,2023-12-30T00:00:00,2023-12-29T17:00:00,1703869200
90.0,134.8,2023-12-29:16,8.7,103.7,46.7,30.67,123.0,2023-12-29T23:00:00,2023-12-29T16:00:00,1703865600
93.0,138.3,2023-12-29:15,9.0,114.0,49.0,32.0,128.0,2023-12-29T22:00:00,2023-12-29T15:00:00,1703862000
121.0,124.3,2023-12-29:14,8.3,116.3,53.8,43.0,119.3,2023-12-29T21:00:00,2023-12-29T14:00:00,1703858400
95.0,110.3,2023-12-29:13,7.7,118.7,41.3,33.0,110.7,2023-12-29T20:00:00,2023-12-29T13:00:00,1703854800
95.0,96.3,2023-12-29:12,7.0,121.0,51.0,33.0,102.0,2023-12-29T19:00:00,2023-12-29T12:00:00,1703851200
98.0,86.0,2023-12-29:11,5.7,119.0,52.0,34.33,88.3,2023-12-29T18:00:00,2023-12-29T11:00:00,1703847600
101.0,75.7,2023-12-29:10,4.3,117.0,53.0,35.67,74.7,2023-12-29T17:00:00,2023-12-29T10:00:00,1703844000
104.0,65.4,2023-12-29:09,3.0,115.0,54.0,37.0,61.0,2023-12-29T16:00:00,2023-12-29T09:00:00,1703840400
98.0,68.5,2023-12-29:08,3.0,116.3,50.0,34.0,65.7,2023-12-29T15:00:00,2023-12-29T08:00:00,1703836800
91.0,71.6,2023-12-29:07,3.0,117.7,46.0,31.0,70.3,2023-12-29T14:00:00,2023-12-29T07:00:00,1703833200
85.0,74.7,2023-12-29:06,3.0,119.0,42.0,28.0,75.0,2023-12-29T13:00:00,2023-12-29T06:00:00,1703829600
81.0,82.3,2023-12-29:05,4.0,115.7,39.7,26.33,107.0,2023-12-29T12:00:00,2023-12-29T05:00:00,1703826000
77.0,89.9,2023-12-29:04,5.0,112.3,37.3,24.67,139.0,2023-12-29T11:00:00,2023-12-29T04:00:00,1703822400
74.0,97.5,2023-12-29:03,6.0,109.0,35.0,23.0,171.0,2023-12-29T10:00:00,2023-12-29T03:00:00,1703818800
87.0,113.4,2023-12-29:02,7.7,96.0,40.8,29.33,169.7,2023-12-29T09:00:00,2023-12-29T02:00:00,1703815200
